SA4_CODE_2016,C06_0_4_Need_asst_M,C06_0_4_Need_asst_F,C06_0_4_No_need_asst_M,C06_0_4_No_need_asst_F,C06_0_4_Need_asst_ns_M,C06_0_4_Need_asst_ns_F,C06_0_4_T_M,C06_0_4_T_F,C06_0_4_T_P,C06_5_14_Need_asst_M,C06_5_14_Need_asst_F,C06_5_14_No_need_asst_M,C06_5_14_No_need_asst_F,C06_5_14_Need_asst_ns_M,C06_5_14_Need_asst_ns_F,C06_5_14_T_M,C06_5_14_T_F,C06_5_14_T_P,C06_15_19_Need_asst_M,C06_15_19_Need_asst_F,C06_15_19_No_need_asst_M,C06_15_19_No_need_asst_F,C06_15_19_Need_asst_ns_M,C06_15_19_Need_asst_ns_F,C06_15_19_T_M,C06_15_19_T_F,C06_15_19_T_P,C06_20_24_Need_asst_M,C06_20_24_Need_asst_F,C06_20_24_No_need_asst_M,C06_20_24_No_need_asst_F,C06_20_24_Need_asst_ns_M,C06_20_24_Need_asst_ns_F,C06_20_24_T_M,C06_20_24_T_F,C06_20_24_T_P,C06_25_34_Need_asst_M,C06_25_34_Need_asst_F,C06_25_34_No_need_asst_M,C06_25_34_No_need_asst_F,C06_25_34_Need_asst_ns_M,C06_25_34_Need_asst_ns_F,C06_25_34_T_M,C06_25_34_T_F,C06_25_34_T_P,C06_35_44_Need_asst_M,C06_35_44_Need_asst_F,C06_35_44_No_need_asst_M,C06_35_44_No_need_asst_F,C06_35_44_Need_asst_ns_M,C06_35_44_Need_asst_ns_F,C06_35_44_T_M,C06_35_44_T_F,C06_35_44_T_P,C06_45_54_Need_asst_M,C06_45_54_Need_asst_F,C06_45_54_No_need_asst_M,C06_45_54_No_need_asst_F,C06_45_54_Need_asst_ns_M,C06_45_54_Need_asst_ns_F,C06_45_54_T_M,C06_45_54_T_F,C06_45_54_T_P,C06_55_64_Need_asst_M,C06_55_64_Need_asst_F,C06_55_64_No_need_asst_M,C06_55_64_No_need_asst_F,C06_55_64_Need_asst_ns_M,C06_55_64_Need_asst_ns_F,C06_55_64_T_M,C06_55_64_T_F,C06_55_64_T_P,C06_65_74_Need_asst_M,C06_65_74_Need_asst_F,C06_65_74_No_need_asst_M,C06_65_74_No_need_asst_F,C06_65_74_Need_asst_ns_M,C06_65_74_Need_asst_ns_F,C06_65_74_T_M,C06_65_74_T_F,C06_65_74_T_P,C06_75_84_Need_asst_M,C06_75_84_Need_asst_F,C06_75_84_No_need_asst_M,C06_75_84_No_need_asst_F,C06_75_84_Need_asst_ns_M,C06_75_84_Need_asst_ns_F,C06_75_84_T_M,C06_75_84_T_F,C06_75_84_T_P,C06_85o_Need_asst_M,C06_85o_Need_asst_F,C06_85o_No_need_asst_M,C06_85o_No_need_asst_F,C06_85o_Need_asst_ns_M,C06_85o_Need_asst_ns_F,C06_85o_T_M,C06_85o_T_F,C06_85o_T_P,C06_Total_Need_asst_M,C06_Total_Need_asst_F,C06_Total_No_need_asst_M,C06_Total_No_need_asst_F,C06_Total_Need_asst_ns_M,C06_Total_Need_asst_ns_F,C06_Total_T_M,C06_Total_T_F,C06_Total_T_P,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_T_M,C11_0_4_T_F,C11_0_4_T_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_T_M,C11_5_14_T_F,C11_5_14_T_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_T_M,C11_15_19_T_F,C11_15_19_T_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_T_M,C11_20_24_T_F,C11_20_24_T_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_T_M,C11_25_34_T_F,C11_25_34_T_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_T_M,C11_35_44_T_F,C11_35_44_T_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_T_M,C11_45_54_T_F,C11_45_54_T_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_T_M,C11_55_64_T_F,C11_55_64_T_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_T_M,C11_65_74_T_F,C11_65_74_T_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_T_M,C11_75_84_T_F,C11_75_84_T_P,C11_85o_Need_asst_M,C11_85o_Need_asst_F
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,3,0,0,19,3,18,0,0,30,4,4,0,31,4,32,0,0,13,4,0,0,15,4,23,0,0,13,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10,4,0,78,10,89,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,3,6,0,0,16,10,0,0,16,10,27,0,0,9,3,4,3,20,10,21,0,0,20,3,0,0,22,3,21,0,0,13,5,0,0,13,4,16,0,0,3,3,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0
699,0,0,15,28,3,0,21,24,48,0,0,34,26,3,0,31,26,62,0,0,24,30,3,0,30,27,65,0,0,48,38,3,3,54,41,94,3,0,94,87,10,3,105,90,196,3,0,62,45,0,5,72,47,119,3,6,56,39,3,3,63,58,120,4,3,35,48,3,5,50,59,106,0,0,20,16,5,0,21,19,41,0,0,8,7,3,0,8,6,16,0,10,0,3,0,0,3,10,16,18,25,395,365,45,27,460,413,872,0,0,19,14,3,3,22,21,40,0,0,26,28,5,3,28,30,58,3,0,35,43,6,6,44,52,92,3,0,47,34,11,4,59,43,103,0,0,96,62,31,11,133,71,203,8,3,74,49,24,3,103,56,163,6,8,63,56,14,0,87,64,155,7,3,70,61,9,6,89,72,156,5,8,36,27,4,0,41,35,75,4,0,6,6,0,3,9,12,23,0,0
701,37,19,3457,3371,573,549,4062,3940,8000,154,82,7054,6732,997,895,8207,7712,15917,51,33,3316,2996,497,406,3865,3433,7300,43,33,3606,3297,566,385,4214,3709,7921,89,67,7677,7855,1154,894,8923,8819,17741,110,108,7923,7753,1080,869,9118,8733,17856,145,172,6809,6624,1017,694,7964,7490,15458,262,186,4786,3927,636,378,5680,4497,10180,211,162,1714,1329,250,132,2170,1626,3796,163,228,504,434,96,90,757,751,1505,50,119,58,73,13,12,122,199,323,1308,1203,46900,44393,6871,5311,55086,50909,105992,53,19,3970,3768,590,497,4618,4285,8904,219,109,7121,7140,983,892,8334,8141,16473,67,32,3616,3243,653,410,4331,3691,8028,53,28,4398,3702,841,433,5296,4167,9458,80,87,8903,9104,1814,1067,10804,10254,21056,125,135,8403,8442,1448,1003,9970,9578,19548,188,160,7418,7285,1139,814,8746,8253,17003,262,230,5627,4982,831,550,6719,5764,12488,266,217,2382,1966,321,219,2967,2398,5364,226,271,584,518,144,97,949,888,1834,77,163
702,32,14,3513,3353,476,421,4018,3786,7808,78,52,7133,6729,915,808,8127,7588,15710,34,22,3092,2983,445,371,3565,3372,6933,32,33,2890,3114,481,429,3404,3578,6984,75,54,5739,6356,943,762,6755,7178,13934,112,89,5626,5688,926,628,6661,6402,13070,141,156,4645,4524,696,527,5484,5210,10698,178,211,2840,2374,418,275,3430,2858,6290,133,203,936,818,147,122,1223,1140,2356,100,169,257,240,44,44,396,451,848,34,87,50,73,10,16,96,178,267,952,1095,36720,36241,5495,4404,43170,41743,84910,20,18,3745,3546,416,400,4180,3972,8150,123,58,7186,6733,711,647,8023,7443,15464,46,39,3112,2925,347,290,3503,3256,6761,47,30,3101,3253,458,337,3601,3616,7222,83,76,6461,6830,982,664,7526,7575,15100,119,131,5678,5969,836,630,6634,6732,13361,190,189,4921,4883,634,466,5743,5542,11287,260,297,3464,3108,419,281,4136,3682,7818,207,259,1244,962,170,135,1615,1354,2976,120,179,276,287,53,64,454,528,981,29,90
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,20,10,8,0,32,12,44,0,0,16,3,3,0,21,3,23,0,0,14,0,5,0,16,0,21,0,0,7,0,0,0,7,0,7,0,0,4,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,14,11,3,78,17,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,15,0,0,0,17,0,18,0,0,26,7,0,0,33,7,37,0,0,19,0,0,0,20,0,22,0,0,14,0,0,0,14,3,15,0,0,9,0,0,0,10,0,7,0,0,0,4,0,0,5,4,6,0,0,0,0,0,0,0,0,0,0,0
799,0,0,20,15,16,5,42,23,57,0,0,38,31,26,16,65,46,113,0,0,15,18,10,6,29,19,44,0,0,56,53,21,9,76,62,144,3,0,152,125,34,45,182,171,357,4,0,104,77,23,14,123,90,216,6,5,118,130,37,14,161,153,318,30,7,205,192,27,19,256,219,477,3,0,87,57,4,6,95,69,166,0,0,8,7,0,0,8,6,11,0,0,0,0,0,0,0,0,3,45,18,804,710,194,134,1043,863,1901,0,0,25,27,0,4,28,31,66,5,0,34,39,7,3,41,43,81,0,0,8,18,3,4,9,24,34,0,0,53,64,9,6,65,69,141,3,0,157,146,42,19,197,167,364,6,0,119,70,24,11,143,84,233,7,3,104,117,27,18,133,136,269,17,18,191,156,34,25,242,198,440,13,3,116,72,6,11,135,85,219,0,0,8,4,0,0,12,7,22,0,0
801,112,82,9534,9118,639,601,10282,9794,20077,592,289,19654,19299,955,947,21206,20539,41744,150,141,11425,10755,602,446,12175,11346,23522,137,120,13014,12560,921,706,14068,13383,27452,317,279,22851,23907,1566,1233,24736,25411,50150,365,414,22189,23521,1269,1044,23825,24976,48804,401,523,20634,22426,1030,919,22075,23865,45940,569,560,15495,16124,763,599,16833,17281,34114,533,652,7272,7926,417,421,8228,9000,17229,855,1425,3569,4375,278,349,4700,6150,10854,524,1254,544,883,88,154,1159,2286,3447,4561,5740,146189,150901,8534,7408,159282,164043,323325,134,66,11627,10856,618,516,12373,11439,23815,741,366,20226,19613,836,682,21808,20663,42468,250,135,11493,10974,594,497,12327,11606,23936,154,136,14300,14075,1152,860,15600,15066,30664,336,323,26794,27530,1786,1325,28917,29178,58091,407,451,24386,25323,1292,955,26086,26735,52818,527,682,21651,23209,1058,799,23240,24689,47928,636,730,17415,18574,750,608,18804,19912,38719,670,770,9289,10041,454,422,10409,11235,21645,824,1356,4094,4749,278,366,5190,6472,11660,635,1611
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,22,16,4,3,27,22,45,3,0,20,33,0,4,25,35,62,0,0,30,32,4,0,32,31,64,0,0,59,55,9,7,68,58,130,0,3,74,65,8,5,84,72,155,0,0,56,42,7,3,67,49,116,0,0,31,26,0,3,34,31,60,0,0,25,18,0,0,27,19,47,0,0,5,5,0,0,5,5,15,3,6,4,0,0,0,8,10,20,0,3,0,0,0,0,0,3,3,9,12,328,297,34,27,371,337,709,0,0,11,20,0,0,11,21,28,0,0,17,18,0,0,17,15,30,0,0,31,23,3,3,30,29,59,0,0,35,38,5,3,38,46,86,4,0,71,69,6,0,83,69,154,0,3,53,39,4,3,60,50,109,3,3,24,32,12,3,37,38,79,3,3,23,22,11,0,33,24,61,0,0,7,4,0,0,12,8,18,0,4,0,0,0,0,0,4,0,0,4
901,0,0,70,82,0,9,72,86,154,3,0,184,187,10,11,201,194,396,0,0,53,57,9,0,66,56,120,0,0,61,61,15,7,74,67,145,3,0,126,132,23,3,149,133,281,4,5,194,185,16,7,216,197,412,3,4,188,170,12,0,201,181,375,10,8,161,81,10,5,183,89,274,4,11,60,30,8,0,73,36,103,4,3,5,5,0,0,5,12,16,3,4,4,0,0,0,10,4,11,34,26,1113,986,96,35,1237,1053,2290,0,0,65,56,8,6,79,66,142,3,0,171,166,9,14,182,179,359,3,0,70,51,36,3,107,51,164,3,0,59,59,135,3,195,64,265,3,0,151,129,427,8,581,141,716,0,0,142,155,129,11,276,172,444,0,3,200,171,31,4,237,181,418,7,4,195,115,14,11,207,126,341,13,3,62,38,9,0,78,45,120,3,7,10,11,0,0,11,18,32,5,0
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,0,13,0,13,0,0,3,0,4,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,11,0,22,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,0,0,0,8,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,8,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
